,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url,explicit,popularity
209,295,416,459,721,560,Camila Cabello,No.6 Collaborations Project,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,0.857,0.621,9,-6.376,0,0.0825,0.0,0.0865,0.668,97.989,204467,4,https://p.scdn.co/mp3-preview/686f1dc5c92030c8e4b48f94098386a89df4b06d?cid=a8d47110797841a4a391cfea300f7b78,False,79
210,296,417,460,722,561,Camila Cabello,Romance,My Oh My (feat. DaBaby),3yOlyBJuViE2YSGn3nVE1K,0.724,0.491,8,-6.024,1,0.0296,1.29e-05,0.0887,0.383,105.046,170746,4,https://p.scdn.co/mp3-preview/f4d0ff165605108542de7358547443d1a9f33fe3?cid=a8d47110797841a4a391cfea300f7b78,False,78
211,297,418,461,723,562,Camila Cabello,Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,0.638,0.717,2,-4.722,1,0.0337,0.0,0.105,0.249,100.027,180000,4,https://p.scdn.co/mp3-preview/f4919d159ccc28353ec076bdf5187c19a4f73dc8?cid=a8d47110797841a4a391cfea300f7b78,False,75
212,298,419,462,724,563,Camila Cabello,Camila,Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,0.637,0.713,0,-4.333,1,0.0747,0.000637,0.137,0.243,129.923,226973,4,https://p.scdn.co/mp3-preview/51da25797c110cf14b87c3b308f4a86cb3e0afd4?cid=a8d47110797841a4a391cfea300f7b78,False,74
217,312,454,497,764,603,Jason Derulo,Acapulco,Acapulco,3eJH2nAjvNXdmPfBkALiPZ,0.774,0.792,10,-4.021,1,0.0523,0.0,0.155,0.507,122.062,139672,4,https://p.scdn.co/mp3-preview/6291f886d5e33da6f0228a0ca664e0fa194f9558?cid=a8d47110797841a4a391cfea300f7b78,False,87
218,313,455,498,765,604,Jason Derulo,Take You Dancing,Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,0.789,0.711,2,-4.248,1,0.041,0.0,0.0876,0.753,112.985,190306,4,https://p.scdn.co/mp3-preview/a571ff5fe255c4a51a609afa67bafd821ea396bf?cid=a8d47110797841a4a391cfea300f7b78,False,82
219,314,457,500,768,607,Jason Derulo,Love Not War (The Tampa Beat),Love Not War (The Tampa Beat),4Lt6GXGzYsa1tgkv3nGSTm,0.738,0.85,8,-3.049,1,0.0642,0.0,0.23,0.865,98.013,192921,4,https://p.scdn.co/mp3-preview/b70b19e458390d63a79b2e2de3ad58de7ca6ff62?cid=a8d47110797841a4a391cfea300f7b78,False,77
220,315,459,502,770,609,Jason Derulo,Everything Is 4,Want to Want Me,7oGZAicScQt96OAW4AruYy,0.775,0.68,0,-5.508,0,0.0629,0.0,0.109,0.656,114.025,207719,4,https://p.scdn.co/mp3-preview/d0727e5bbaef36980bc20f5c5cccf3c757af7bb0?cid=a8d47110797841a4a391cfea300f7b78,False,75
221,316,462,505,773,612,Jason Derulo,Future History (Deluxe Edition),It Girl,4fINc8dnfcz7AdhFYVA4i7,0.668,0.718,1,-4.736,0,0.0605,0.0,0.104,0.345,91.993,192200,4,https://p.scdn.co/mp3-preview/8d8bafaef1fec4bf1a99ab76918ad5593860d59b?cid=a8d47110797841a4a391cfea300f7b78,False,71
232,344,503,546,814,653,Mariah Carey,Merry Christmas,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7,-7.463,1,0.0384,0.0,0.0708,0.35,150.273,241107,4,https://p.scdn.co/mp3-preview/bbafd15ff484394a0ca106d5fef0a81eeea4ef5b?cid=a8d47110797841a4a391cfea300f7b78,False,84
233,345,504,547,815,654,Mariah Carey,Daydream,Fantasy,6xkryXuiZU360Lngd4sx13,0.669,0.727,7,-7.588,1,0.0353,0.0,0.123,0.807,102.322,243493,4,https://p.scdn.co/mp3-preview/61fb93f115e330ccf429e98c24f624b12f877fc5?cid=a8d47110797841a4a391cfea300f7b78,False,75
234,346,505,548,816,655,Mariah Carey,Daydream,Always Be My Baby,2aBxt229cbLDOvtL7Xbb9x,0.65,0.531,4,-8.335,1,0.0364,0.0,0.249,0.487,78.946,258133,4,https://p.scdn.co/mp3-preview/35f7b744521c0f3076f46b138b3c6d396ba99bfa?cid=a8d47110797841a4a391cfea300f7b78,False,73
235,347,506,549,817,656,Mariah Carey,Music Box,Without You,1kMOJBmpfWD9fir6st9uqS,0.576,0.526,6,-8.524,1,0.0325,2.01e-06,0.0548,0.147,122.06,213667,4,https://p.scdn.co/mp3-preview/44a2b4866d8409efb403abfeaf2f59811aafaa32?cid=a8d47110797841a4a391cfea300f7b78,False,71
236,348,507,550,818,657,Mariah Carey,Merry Christmas,Christmas (Baby Please Come Home),3PIDciSFdrQxSQSihim3hN,0.561,0.782,3,-7.444,1,0.0317,0.0,0.109,0.704,127.148,153240,4,https://p.scdn.co/mp3-preview/b218043b2fbb314ce430dda3631a8e7e49fb8953?cid=a8d47110797841a4a391cfea300f7b78,False,71
237,349,508,551,820,659,Mariah Carey,Music Box,Hero,4FCb4CUbFCMNRkI6lYc1zI,0.501,0.378,4,-9.37,1,0.029,0.0,0.119,0.178,119.987,257733,4,https://p.scdn.co/mp3-preview/cc03494b6954237706d6f2ac7b9ce189014f840a?cid=a8d47110797841a4a391cfea300f7b78,False,71
247,402,571,614,897,736,Marshmello,Silence,Silence,7vGuf3Y35N4wmASOKLUVVU,0.52,0.761,4,-3.093,1,0.0853,4.96e-06,0.17,0.286,141.971,180823,4,https://p.scdn.co/mp3-preview/d779881bd6bbcced00dbf7f5b87e3374bf7c058b?cid=a8d47110797841a4a391cfea300f7b78,False,80
265,454,638,682,1044,883,Hozier,Hozier (Expanded Edition),Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,0.566,0.664,4,-5.303,0,0.0464,0.0,0.116,0.437,128.945,241693,4,https://p.scdn.co/mp3-preview/cdbb37ee18245800e331528fd781bac388da9254?cid=a8d47110797841a4a391cfea300f7b78,False,76
266,455,639,683,1046,885,Hozier,The Bones (with Hozier),The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,0.561,0.597,11,-6.0,0,0.0405,0.0,0.0979,0.355,76.826,197299,4,https://p.scdn.co/mp3-preview/e05874f657064f79368d2db7459c5a0ea8740b45?cid=a8d47110797841a4a391cfea300f7b78,False,72
273,473,665,709,1094,933,John Legend,Love In The Future (Expanded Edition),All of Me,3U4isOIWM3VvDubwSI3y7a,0.422,0.264,8,-7.064,1,0.0322,0.0,0.132,0.331,119.93,269560,4,https://p.scdn.co/mp3-preview/488c53471e56ff9f629652691444438951e880bb?cid=a8d47110797841a4a391cfea300f7b78,False,86
